Date,Price,Open,High,Low,,
7/8/2007,9.08,9.03,9.08,9.03,,
7/1/2007,9.0747,9.0296,9.0747,9.0296,,
6/24/2007,9.0737,9.0285,9.0737,9.0285,,
6/17/2007,9.0727,9.0276,9.0727,9.0276,,
6/10/2007,9.0268,8.9819,9.0268,8.9819,,
6/3/2007,9.0258,8.9809,9.0258,8.9809,,
5/27/2007,8.998,8.9533,8.998,8.9533,,
5/20/2007,8.9792,8.9345,8.9792,8.9345,,
5/13/2007,8.4175,8.415,8.4175,8.415,,
5/6/2007,8.9325,8.8881,8.9325,8.8881,,
4/29/2007,8.9052,8.8609,8.9052,8.8609,,
4/22/2007,8.8897,8.8455,8.8897,8.8455,,
4/15/2007,8.8891,8.8449,8.8891,8.8449,,
4/8/2007,8.8886,8.8444,8.8886,8.8444,,
4/1/2007,8.8881,8.8439,8.8881,8.8439,,
3/25/2007,8.8873,8.8434,8.8873,8.8434,,
3/18/2007,8.887,8.8428,8.887,8.8428,,
3/11/2007,8.8865,8.8423,8.8865,8.8423,,
3/4/2007,8.8855,8.8413,8.8855,8.8413,,
2/25/2007,8.8855,8.8413,8.8855,8.8413,,
2/18/2007,8.8849,8.8407,8.8849,8.8407,,
2/11/2007,8.8844,8.8402,8.8844,8.8402,,
2/4/2007,8.8838,8.8396,8.8838,8.8396,,
1/28/2007,8.8476,8.8036,8.8476,8.8036,,
1/21/2007,8.8476,8.8036,8.8476,8.8036,,
1/14/2007,8.75,8.7,8.75,8.7,,
1/7/2007,8.8468,8.8028,8.8468,8.8028,,
12/31/2006,8.7983,8.7546,8.7983,8.7546,,
12/24/2006,8.7983,8.7546,8.7983,8.7546,,
12/17/2006,8.7983,8.7546,8.7983,8.7546,,
12/10/2006,8.7983,8.7546,8.7983,8.7546,,
12/3/2006,8.7499,8.7063,8.7499,8.7063,,
11/26/2006,8.7499,8.7063,8.7499,8.7063,,
11/19/2006,8.7492,8.7057,8.7492,8.7057,,
11/12/2006,8.7487,8.7052,8.7487,8.7052,,
11/5/2006,8.7481,8.7046,8.7481,8.7046,,
10/29/2006,8.7476,8.7041,8.7476,8.7041,,
10/22/2006,8.7471,8.7036,8.7471,8.7036,,
10/15/2006,8.7466,8.7031,8.7466,8.7031,,
10/8/2006,8.745,8.7,8.745,8.7,,
10/1/2006,8.7454,8.7019,8.7454,8.7019,,
9/24/2006,8.7452,8.7017,8.7452,8.7017,,
9/17/2006,8.7446,8.7011,8.7446,8.7011,,
9/10/2006,8.744,8.7005,8.744,8.7005,,
9/3/2006,8.7437,8.7002,8.7437,8.7002,,
8/27/2006,8.7429,8.6994,8.7429,8.6994,,
8/20/2006,8.7423,8.6988,8.7423,8.6988,,
8/13/2006,8.7418,8.6983,8.7418,8.6983,,
8/6/2006,8.7412,8.6977,8.7412,8.6977,,
7/30/2006,8.65,8.45,8.65,8.45,,
7/23/2006,8.65,8.45,8.65,8.45,,
7/16/2006,8.65,8.5,8.65,8.5,,
7/9/2006,8.739,8.6955,8.739,8.6955,,
7/2/2006,8.7384,8.6949,8.7384,8.6949,,
6/25/2006,8.7378,8.6944,8.7378,8.6944,,
6/18/2006,8.7368,8.6933,8.7368,8.6933,,
6/11/2006,8.7368,8.6933,8.7368,8.6933,,
6/4/2006,8.7362,8.6927,8.7362,8.6927,,
5/28/2006,8.7356,8.6922,8.7356,8.6922,,
5/21/2006,8.735,8.6916,8.735,8.6916,,
5/14/2006,8.7346,8.6911,8.7346,8.6911,,
5/7/2006,8.734,8.6905,8.734,8.6905,,
4/30/2006,8.7337,8.6902,8.7337,8.6902,,
4/23/2006,8.7331,8.6896,8.7331,8.6896,,
4/16/2006,8.65,8.5,8.65,8.5,,
4/9/2006,8.7317,8.6882,8.7317,8.6882,,
4/2/2006,8.7317,8.6882,8.7317,8.6882,,
3/26/2006,8.65,8.45,8.65,8.45,,
3/19/2006,8.6513,8.4525,8.6513,8.4525,,
3/12/2006,8.4175,8.415,8.4175,8.415,,
3/5/2006,8.7294,8.6859,8.7294,8.6859,,
2/26/2006,8.7289,8.6855,8.7289,8.6855,,
2/19/2006,8.7283,8.6849,8.7283,8.6849,,
2/12/2006,8.7278,8.6844,8.7278,8.6844,,
2/5/2006,8.7272,8.6838,8.7272,8.6838,,
